year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
2008,final,mt,ro,mt,ro,0,,
2008,final,mt,hr,mt,hr,0,,
2008,final,mt,fi,mt,fi,0,,
2008,final,mt,de,mt,de,0,,
2008,final,mt,pl,mt,pl,0,,
2008,final,mt,gb,mt,gb,0,,
2008,final,md,ru,md,ru,10,,
2008,final,md,ua,md,ua,7,,
2008,final,md,gr,md,gr,4,,
2008,final,md,am,md,am,2,,
2008,final,md,no,md,no,5,,
2008,final,md,rs,md,rs,1,,
2008,final,md,tr,md,tr,0,,
2008,final,md,az,md,az,8,,
2008,final,md,il,md,il,6,,
2008,final,md,ba,md,ba,0,,
2008,final,md,ge,md,ge,3,,
2008,final,md,lv,md,lv,0,,
2008,final,md,pt,md,pt,0,,
2008,final,md,is,md,is,0,,
2008,final,md,dk,md,dk,0,,
2008,final,md,es,md,es,0,,
2008,final,md,al,md,al,0,,
2008,final,md,se,md,se,0,,
2008,final,md,fr,md,fr,0,,
2008,final,md,ro,md,ro,12,,
2008,final,md,hr,md,hr,0,,
2008,final,md,fi,md,fi,0,,
2008,final,md,de,md,de,0,,
2008,final,md,pl,md,pl,0,,
2008,final,md,gb,md,gb,0,,
2008,final,me,ru,me,ru,8,,
2008,final,me,ua,me,ua,4,,
2008,final,me,gr,me,gr,6,,
2008,final,me,am,me,am,1,,
2008,final,me,no,me,no,0,,
2008,final,me,rs,me,rs,12,,
2008,final,me,tr,me,tr,0,,
2008,final,me,az,me,az,0,,
2008,final,me,il,me,il,5,,
2008,final,me,ba,me,ba,10,,
2008,final,me,ge,me,ge,0,,
2008,final,me,lv,me,lv,3,,
2008,final,me,pt,me,pt,0,,
2008,final,me,is,me,is,0,,
2008,final,me,dk,me,dk,0,,
2008,final,me,es,me,es,0,,
2008,final,me,al,me,al,7,,
2008,final,me,se,me,se,0,,
2008,final,me,fr,me,fr,0,,
2008,final,me,ro,me,ro,0,,
2008,final,me,hr,me,hr,2,,
2008,final,me,fi,me,fi,0,,
2008,final,me,de,me,de,0,,
2008,final,me,pl,me,pl,0,,
2008,final,me,gb,me,gb,0,,
2008,final,nl,ru,nl,ru,1,,
2008,final,nl,ua,nl,ua,0,,
2008,final,nl,gr,nl,gr,6,,
2008,final,nl,am,nl,am,12,,
2008,final,nl,no,nl,no,4,,
2008,final,nl,rs,nl,rs,8,,
2008,final,nl,tr,nl,tr,10,,
2008,final,nl,az,nl,az,2,,
2008,final,nl,il,nl,il,3,,
2008,final,nl,ba,nl,ba,7,,
2008,final,nl,ge,nl,ge,0,,
2008,final,nl,lv,nl,lv,0,,
2008,final,nl,pt,nl,pt,5,,
2008,final,nl,is,nl,is,0,,
2008,final,nl,dk,nl,dk,0,,
2008,final,nl,es,nl,es,0,,
2008,final,nl,al,nl,al,0,,
2008,final,nl,se,nl,se,0,,
2008,final,nl,fr,nl,fr,0,,
2008,final,nl,ro,nl,ro,0,,
2008,final,nl,hr,nl,hr,0,,
2008,final,nl,fi,nl,fi,0,,
2008,final,nl,de,nl,de,0,,
2008,final,nl,pl,nl,pl,0,,
2008,final,nl,gb,nl,gb,0,,
2008,final,mk,ru,mk,ru,6,,
